original_name,SM_name,SM_type,sub_type,mat_type,materials,mat_basis,deltaV,n_e,notes
Pb acid,Pb acid,coupled_battery,solid_electrode,other,Pb,,2.1,2,
NiCd,NiCd,coupled_battery,solid_electrode,Ni based,"[('Cd(OH)2', 1), ('Ni(OH)2', 1)]",molar,1.2,2,
NiMH,NiMH,coupled_battery,solid_electrode,Ni based,"[('LaNi5', 1), ('Ni(OH)2', 1)]",molar,1.2,1,
Zn/air,,coupled_battery,metal_air,Zn based,Zn,,1.65,,Already in Weinrich 2019
Zn/NiOOH,Zn/NiOOH,coupled_battery,solid_electrode,Zn based,"[('Zn', 1), ('Ni(OH)2', 2 )]",molar,1.74,2,https://www.sunergybattery.com/nickelzinc-chemistry
Zn/MnO2,Zn/MnO2,coupled_battery,solid_electrode,Zn based,"[('Zn', 1), ('MnO2', 1)]",molar,1.5,2,https://en.wikipedia.org/wiki/Alkaline_battery
Zn/Fe,Zn/Fe,coupled_battery,hybrid_flow,Zn based,"[('Zn', 1), ('Fe', 2)]",molar,1.99,2,https://pubs.rsc.org/en/content/articlelanding/2015/ee/c5ee02315g
Zn/Zn0.25V2O5,Zn/Zn0.25V2O5,coupled_battery,solid_electrode,Zn based,"[('Zn', 1.35), ('V2O5', 1)]",molar,1.4,2.2,"Appears to be aqueous but intercalation based operation (not flow). Delta V taken from figure 4a in Kundu et al. "
Mg/Ti2S4,Mg/Ti2S4,coupled_battery,solid_electrode,other,"[('Mg', 1), ('TiS2', 1)]",molar,1.7,2,A high capacity thiospinel cathode for Mg batteries
Li/S,Li/S,coupled_battery,solid_electrode,Lithium metal,"[('Li', 2), ('S', 1)]",molar,2.5,2,https://en.wikipedia.org/wiki/Lithium%E2%80%93sulfur_battery
Li/TiS2,Li/TiS2,coupled_battery,solid_electrode,Lithium metal,"[('Li', 1), ('TiS2', 1)]",molar,2.5,1,https://www.science.org/doi/10.1126/science.192.4244.1126
Li/MoS2,Li/MoS2,coupled_battery,solid_electrode,Lithium metal,"[('Li', 1), ('MoS2', 1)]",molar,2.5,1,https://patents.google.com/patent/US4224390A/en
Li/LCO,Li/LCO,coupled_battery,solid_electrode,Lithium metal,"[('Li', 1), ('LCO', 1)]",molar,4.7,1,https://www.sciencedirect.com/science/article/abs/pii/0025540880900124
Li/air,Li/air,coupled_battery,metal_air,Lithium metal,Li,,2.91,1,Voltage from Weinrich 2019
Na/S,Na/S,coupled_battery,liquid_metal_battery,,"[('Na', 1), ('S', 2)]",molar,2,1,https://en.wikipedia.org/wiki/Sodium%E2%80%93sulfur_battery
