index,class,original_name,phase_change_T,density,kth,vol_latent_heat,specific_price,specific_energy,molecular_formula,index_use,energy_type
NNaO3,Nitrate salts,NaNO3,306.0,2261 (S),,388.9,6.0,0.04777777777777778,NNaO3,molecular_formula,latent_thermal
KNO3,Nitrate salts,KNO3,335.0,2109(S),0.5,561.0,7.0,0.07388888888888889,KNO3,molecular_formula,latent_thermal
CaN2O6,Nitrate salts,Ca(NO3)2,560.0,2113(S),,306.4,,0.04027777777777778,CaN2O6,molecular_formula,latent_thermal
Mg,Nitrate salts,Mg (NO3)2,426.0,,,,226.0,,Mg,molecular_formula,latent_thermal
CNa2O3,Carbonate salts,Na2CO3,854.0,2533(S),,699.1,3.0,0.07666666666666666,CNa2O3,molecular_formula,latent_thermal
CK2O3,Carbonate salts,K2CO3,897.0,2290(S),,540.4,7.0,0.06555555555555556,CK2O3,molecular_formula,latent_thermal
CCaO3,Carbonate salts,CaCO3,1330.0,2930(S),,416.1,8.0,0.03944444444444444,CCaO3,molecular_formula,latent_thermal
CLi2O3,Carbonate salts,Li2CO3,732.0,2110(S),,1074.0,111.0,0.1413888888888889,CLi2O3,molecular_formula,latent_thermal
Cl2Zn,Chloride salts,ZnCl2,280.0,2907(S),0.5,218.0,14.0,0.020833333333333332,Cl2Zn,molecular_formula,latent_thermal
ClNa,Chloride salts,NaCl,802.0,2160(S),,907.2,2.8,0.11666666666666667,ClNa,molecular_formula,latent_thermal
ClK,Chloride salts,KCl,771.0,1980(S),,698.9,7.6,0.09805555555555556,ClK,molecular_formula,latent_thermal
Cl2Mg,Chloride salts,MgCl2,714.0,2320(S),,1048.6,55.0,0.12555555555555556,Cl2Mg,molecular_formula,latent_thermal
ClLi,Chloride salts,LiCl,610.0,2070(S),,912.9,55.0,0.1225,ClLi,molecular_formula,latent_thermal
CaCl2,Chloride salts,CaCl2,772.0,2150(S),,544.0,5.3,0.07027777777777777,CaCl2,molecular_formula,latent_thermal
Na2O4S,Sulfate salts,Na2SO4,884.0,2680(S),,442.2,3.4,0.04583333333333333,Na2O4S,molecular_formula,latent_thermal
Li2O4S,Sulfate salts,Li2SO4,858.0,2220(S),,186.5,180.0,0.023333333333333334,Li2O4S,molecular_formula,latent_thermal
K2O4S,Sulfate salts,K2SO4,1069.0,2660(S),,563.9,8.25,0.058888888888888886,K2O4S,molecular_formula,latent_thermal
MgO4S,Sulfate salts,MgSO4,1130.0,2660(S),,324.5,13.7,0.03388888888888889,MgO4S,molecular_formula,latent_thermal
CaO4S,Sulfate salts,CaSO4,1460.0,2320(S),,471.0,27.0,0.05638888888888889,CaO4S,molecular_formula,latent_thermal
FLi,Fluoride salts,LiF,850.0,2640(S),,2756.2,220.0,0.29,FLi,molecular_formula,latent_thermal
FNa,Fluoride salts,NaF,996.0,2558(S),,2031.1,7.6,0.22055555555555556,FNa,molecular_formula,latent_thermal
KF,Fluoride salts,KF,858.0,2370(S),,1109.2,203.0,0.13,KF,molecular_formula,latent_thermal
CaF2,Fluoride salts,CaF2,1418.0,3180(S),,1243.4,11.4,0.10861111111111112,CaF2,molecular_formula,latent_thermal
HNaO,Hydroxides,NaOH,318.0,2100(S),,346.5,4.1,0.04583333333333333,HNaO,molecular_formula,latent_thermal
KOH,Hydroxides,KOH,380.0,2040(S),,306.0,5.0,0.041666666666666664,KOH,molecular_formula,latent_thermal
HLiO,Hydroxides,LiOH,462.0,1460(S),,1274.6,165.0,0.2425,HLiO,molecular_formula,latent_thermal
Cu,Metals,Cu,1084.0,8960(S),401,1863.7,84.0,0.057777777777777775,Cu,molecular_formula,latent_thermal
Zn,Metals,Zn,419.0,7140(S),116,806.8,10.0,0.03138888888888889,Zn,molecular_formula,latent_thermal
Al,Metals,Al,660.0,2707(S),204,1074.7,25.0,0.11027777777777778,Al,molecular_formula,latent_thermal
Mg23Zn27,Alloys,Zn54Mg46,340.0,4600(S),,851.0,,0.05138888888888889,Mg23Zn27,molecular_formula,latent_thermal
Mg12Zn13,Alloys,Zn52Mg48,340.0,,,,,0.05,Mg12Zn13,molecular_formula,latent_thermal
AlZn24,Alloys,Zn96Al4,381.0,6630(S),,914.9,,0.03833333333333333,AlZn24,molecular_formula,latent_thermal
Al59Mg33Zn6,Alloys,Al59Mg33Zn6,443.0,2380(S),,737.8,,0.08611111111111111,Al59Mg33Zn6,molecular_formula,latent_thermal
Al30Mg17Zn3,Alloys,Al60Mg34Zn6,450.3,,,,,0.09141666666666667,Al30Mg17Zn3,molecular_formula,latent_thermal
Cu5Mg12Zn3,Alloys,Mg60Cu25Zn15,452.0,2800(S),,711.2,,0.07055555555555555,Cu5Mg12Zn3,molecular_formula,latent_thermal
Ca4Mg21,Alloys,Mg84Ca16,790.0,1380(S),,375.4,,0.07555555555555556,Ca4Mg21,molecular_formula,latent_thermal
Mg47Si38Zn15,Alloys,Mg47Si38Zn15,800.0,,,,,0.08722222222222223,Mg47Si38Zn15,molecular_formula,latent_thermal
Cu4Si,Alloys,Cu80Si20,803.0,6600(S),,1300.2,,0.05472222222222222,Cu4Si,molecular_formula,latent_thermal
Cu83P10Si7,Alloys,Cu83P10Si7,840.0,6880(S),,633.0,,0.025555555555555557,Cu83P10Si7,molecular_formula,latent_thermal
Ca21Mg30Si49,Alloys,Si49Mg30Ca21,865.0,6880(S),,2098.4,,0.08472222222222223,Ca21Mg30Si49,molecular_formula,latent_thermal
Mg11Si14,Alloys,Si56Mg44,946.0,1900(S),,1438.3,,0.21027777777777779,Mg11Si14,molecular_formula,latent_thermal
