original_name,Melting point (°C),Heat of fusion (J/g),Density (kg/m3),Storage Capacity (MJ/m3),Cost ($/tonne),Mixture of Salts,Melting Point (°C),Latent Heat (J/g)
LiF,849,1041,2640 (S) 1810 (L),2756.2,"32,500",KF (55%)/KCl (45%),605,407
NaF,996,794,2558 (S) 1948 (L),2031.1,1610,LiF (60%)/NaF (40%),652,816
KF,858,507,2370 (S) 1910 (L),1109.2,5300,NaF (65%)/CaF2 (23%)/MgF2 (12%),743,568
MgF2,1263,938,NA,NA,870,NaF (64%)/MgF2 (20%)/KF (16%),804,650
CaF2,1418,381,3180 (S) 1910 (L),1243.4,120,NaF (75%)/MgF2 (25%),832,627
LiCl,610,416,2070 (S) 1502 (L),912.9,8000,KCl(21%)/NaF(17%)K2CO3(62%),520,274
NaCl,801,482,2160 (S),907.2,49,KCl(40%)/KF (23%)/K2CO3(37%),528,283
KCl,771,353,1980 (S) 1527 (L),698.9,455,KCl (45%)/KF (55%),605,407
MgCl2,714,454,2320 (S) 1680 (L),1048.6,342,K2CO3 (50%)/Na2CO3 (50%),710,163
CaCl2,772,253,2150 (S) 2085 (L),544,200,NaF (75%)/MgF2 (50%),832,650
Li2CO3,732,509,2110 (S),1074,7050,LiF (67%)/MgF2 (33%),746,947
Na2CO3,858,165,2533 (S) 1972 (L),699.1,324,NaF(65%)/CaF2(23%)/MgF2(12%),745,574
K2CO3,900,202,2290 (S),540.4,1100,LiF(33.4%)/NaF2(49.9%)/MgF2(17.1%),650,860
Mg2CO3,990,698,,NA,NA,NaCl (38.5%)/NaBr (23%)/Na2MoO4(38.5%),612,168
CaCO3,1330,NA,2930 (S),416.1,NA,CaCl2(38.5%)/CaSO4(11%)/CaMoO4(4%),673,224
