,0,1,2,3,4,5
0,Materials,Melting Point,Thermal,Density,"Specific Heat,",Vol. Energy
1,,,Conductivity,,Cp,Density
2,,(oC),(W/m.K),(kg/m3),(J/kg.K),(kJ/m3)
3,Solids,,,,,
4,Aluminum,660,205,2700,920,2484
5,Iron (cast),1150,58,7200,540,3890
6,Glass,N/A,,2710,837,2272
7,Brick,>1500,1.3,1970,921,1813
8,Concrete,N/A,1.0-1.8,2000,880,1760
9,Granite,1215-1260,1.7-4.0,2400,790,1896
10,Liquids,,,,,
11,Water,100,0.58,1000,4190,4190
12,Molten sodium,98,,750,1260,945
13,50:50 ethylene,,,1075,3480,3740
14,glycol -water mix,,,,,
15,Molten salts,,,,,
16,50 wt% KNO3 -40%,149,,1680,1560,2620
17,NaNO2 - 7% NaNO3,,,,,
18,LiNO3-NaNO3-KNO3,117,,1710,1540,1056
19,NaNO3-KNO3,222,,1750,1530,756
