index,specific_price,original_name
BaCO3,0.361,BaCO3 barium carbonate
BaH2O2,0.1,Ba(OH)2 barium
BaO,0.3,barium oxide BaO
CMgO3,0.544905,MgCO3 magnesium carbonate
CO3Pb,0.136,PbCO3 lead carbonate
CO3Sr,0.9728122222222222,SrCO3 strontium carbonate
CaH2O2,0.7600555555555555,Ca(OH)2 calcium hydrate
CaN2O6,0.83,Calcum nitrate Ca(NO3)2
CdO4S,0.77,CdSO4 cadmium sulphate
Cr2O3,1.0,Cr2O3 chromium oxide
CuO,10.6,Copper Oxide CuO
CuO4S,1.1012857142857142,Copper Sulfate CuSO4
FeO4S,0.09471428571428572,Iron Sulfate FeSO4
H2MgO2,0.7150000000000001,Mg(OH)2 magnesium hydroxide
H2NiO2,0.48200000000000004,Ni(OH)2 nickel hydroxide
H2O2Sr,1.25,Sr(OH)2
MgO,0.09,MgO magnesium oxide
MnO2,1.1019999999999999,MnO2 manganese oxide
NiO4S,3.109255,NiSO4 nickel sulphate
O3Sb2,8.325,Sb2O3 antimony oxide
O4SZn,0.3906666666666667,ZnSO4 zinc sulphate
OPb,2.7,PbO lead oxide
