,Location   ,Energy source Primary  , Secondary  ,TES system Type  , Storage medium , Annual capacity (MWh),Remarks   
3,"Friedrichshafen, Germany",Solar,Natural gas,"Underground, Seasonal",Water,4106,"District heating network [8,13]"
4,"Marstal, Denmark",Solar,Biomass,"Underground, Seasonal","Water, Pit","19,000",District heating network [13]
5,,,,,storage,,
6,"Kungalv, Sweden",Industry,Waste,"Underground, Seasonal",Water,"90,000",District heating network [13]
7,,waste heat,incineration,,,,
8,"Chemnitz, Germany",Solar,"Natural gas,","Underground, Seasonal",Gravel/water,573,District heating network [13]
9,,,fuel oil,,,,
10,"Neckarsulm, Germany",Solar,,"Underground, Seasonal",Borehole/duct,3960,District heating network [13]
11,"Rostock, Germany",Solar,,"Underground, Seasonal",Aquifer,497,District heating network [13]
12,"Kutch,
India",Solar,,Diurnal,Solar pond,1357,Industrial process heat supply
13,,,,,,,[14]
14,"Solar two, Nevada, USA",Solar,,Diurnal two tank system,Solar salt,105,Electrical power generation.
15,,,,,,,"Hot tank (565 degC, 875 m3) [15]"
16,"THEMIS, Pyrenees, France",Solar,,Diurnal two tank system,Hitect salt,40,Electrical power generation.
17,,,,,,,"Hot tank (450 degC, 310 m3) [15]"
18,"Andasol Andalusia, Spain",Solar parabolic,,"Diurnal, Twoetank,",Molten salt,1010,Electrical power generation
19,,trough,,Indirect,,,Hot tank (384 degC) [16]
20,Extresol Torre de Miguel,Solar parabolic,,"Diurnal, Twoetank,",Molten salt,1010,Electrical power generation
21,"Sesmero, Spain",trough,,Indirect,,,Hot tank (384 degC) [16]
22,Arcosol 50 San Jos-e,Solar parabolic,,"Diurnal, Twoetank,",Molten salt,1010,Electrical power generation
23,"del Valle, Spain",trough,,Indirect,,,Hot tank (384 degC) [16]
24,"La Florida Badajoz, Spain",Solar parabolic,,"Diurnal, Twoetank,",Molten salt,1010,Electrical power generation
25,,trough,,Indirect,,,Hot tank (384 degC) [16]
26,"La Dehesa La Garrovilla,",Solar parabolic,,"Diurnal, Twoetank,",Molten salt,1010,Electrical power generation
27,Spain,trough,,Indirect,,,Hot tank (384 degC) [16]
28,Gemasolar (Solar Tres),Solar power tower,,"Diurnal, Twoetank,",Molten salt,600,Electrical power generation
29,"Fuentes de Andalucía,",,,Direct,,,Hot tank (565 degC) [16]
30,Spain,,,,,,
