original_name,materials,SM_type
Carbon nanosheets,Graphite,ELDC
N-doped carbon nanosheets,Graphite,ELDC
Porous carbon nanowhiskers,Graphite,ELDC
N-doped nanoporous carbon,Graphite,ELDC
Nanofibers/mesoporous carbon,Graphite,ELDC
N-doped carbon nanospheres,Graphite,ELDC
Nanoporous carbon,Graphite,ELDC
Mesoporous carbon nanosheets,Graphite,ELDC
GO-activate carbon,Graphene Oxide,ELDC
Porous carbon/CNTs,"[('Graphite', 0.5), ('CNT', 0.5)]",ELDC
Porous CNTs,CNT,ELDC
Nanoporous carbon foams,Graphite,ELDC
Carbonization of carbon hydrates,Graphite,ELDC
Carbonized hollow nanocarbon,Graphite,ELDC
Graphene-coated CNTs,"[('Graphene', 0.5), ('CNT', 0.5)]",ELDC
Graphene/CNF,"[('Graphene', 0.5), ('Graphite', 0.5)]",ELDC
3D porous graphene-like carbon,Graphene,ELDC
Mesoporous graphene nanoballs,Graphene,ELDC
Graphene/CNT composite fibers,"[('Graphene', 0.5), ('CNT', 0.5)]",ELDC
N-doped 3D nanoporous carbon,Graphite,ELDC
Graphene/CNT,"[('Graphene', 0.5), ('CNT', 0.5)]",ELDC
Graphene/carbon,"[('Graphene', 0.5), ('Graphite', 0.5)]",ELDC
RGO/CNT,"[('Graphene Oxide', 0.5), ('CNT', 0.5)]",ELDC
Halogen-containing nanoporous carbon,Graphite,ELDC
Oxygen-rich nanoporous carbon,Graphite,ELDC
