SM_name,materials,SM_type,specific_capacitance,deltaV_electrolyte
3D porous graphene-like carbon,Graphene,ELDC,167.0,2.5
Carbon nanosheets,Graphite,ELDC,198.5,3.5
Carbonization of carbon hydrates,Graphite,ELDC,140,0.8
Carbonized hollow nanocarbon,Graphite,ELDC,171.5,0.9
GO-activate carbon,Graphene Oxide,ELDC,122.5,3.5
Graphene-coated CNTs,"[('Graphene', 0.5), ('CNT', 0.5)]",ELDC,95.0,3.0
Graphene/CNF,"[('Graphene', 0.5), ('Graphite', 0.5)]",ELDC,174,1.5
Graphene/CNT,"[('Graphene', 0.5), ('CNT', 0.5)]",ELDC,199,4.0
Graphene/CNT composite fibers,"[('Graphene', 0.5), ('CNT', 0.5)]",ELDC,20.5,0.8
Graphene/carbon,"[('Graphene', 0.5), ('Graphite', 0.5)]",ELDC,175.0,3.5
Halogen-containing nanoporous carbon,Graphite,ELDC,211.5,1.0
Mesoporous carbon nanosheets,Graphite,ELDC,115.0,2.7
Mesoporous graphene nanoballs,Graphene,ELDC,206,0.8
N-doped 3D nanoporous carbon,Graphite,ELDC,265.0,1.0
N-doped carbon nanosheets,Graphite,ELDC,165.0,1.0
N-doped carbon nanospheres,Graphite,ELDC,128.0,1.0
N-doped nanoporous carbon,Graphite,ELDC,165.0,1.0
Nanofibers/mesoporous carbon,Graphite,ELDC,85.5,0.8
Nanoporous carbon,Graphite,ELDC,129.0,3.5
Nanoporous carbon foams,Graphite,ELDC,252.0,1.1
Oxygen-rich nanoporous carbon,Graphite,ELDC,253.5,1.0
Porous CNTs,CNT,ELDC,582.0,0.7
Porous carbon nanowhiskers,Graphite,ELDC,167.5,1.0
Porous carbon/CNTs,"[('Graphite', 0.5), ('CNT', 0.5)]",ELDC,181.0,0.9
RGO/CNT,"[('Graphene Oxide', 0.5), ('CNT', 0.5)]",ELDC,216.0,1.0
