,class,material,phase_change_T,sp_latent_heat,density,kth,vol_latent_heat,cost
0,Parafﬁn,n-Dodecane (Carbon atoms-12),-10.0,0.06,,,,10.0
1,Parafﬁn,n-Tridecane (Carbon atoms-13),-5.0,0.044444444444444446,,,,200.0
2,Parafﬁn,n-Tetradecane (Carbon atoms-14),6.0,0.0636111111111111,760 (L),0.21(S),,10.0
3,Parafﬁn,n-Pentadecane (Carbon atoms-15),10.0,0.05722222222222222,770(L),,,330.0
4,Parafﬁn,n-Hexadecane (Carbon atoms-16),20.0,0.06555555555555556,773(L),0.21(S),182.4,414.0
5,Parafﬁn,n-Heptadecane (Carbon atoms-17),22.6,0.059444444444444446,778(L),,166.5,770.0
6,Parafﬁn,n-Octadecane (Carbon atoms-18),28.4,0.06777777777777778,776(L) 814(S),0.148(L),189.3,380.0
7,Parafﬁn,,,,,0.358(S),,
8,Parafﬁn,n-Nonadecane (Carbon atoms-19),32.0,0.06166666666666667,785 (L),,174.3,1150.0
9,Parafﬁn,n-Eicozane (Carbon atoms-20),36.6,0.06861111111111111,788 (L),,194.6,
10,Parafﬁn,n-Heneicozane (Carbon atoms-21),40.2,0.059166666666666666,791 (L),,168.5,
11,Parafﬁn,n-Docozane (Carbon atoms-22),44.0,0.06916666666666667,794 (L),,197.7,
12,Parafﬁn,n-Trikozane (Carbon atoms-23),47.5,0.065,796 (L),,186.3,
13,Parafﬁn,n-Tetracozane (Carbon atoms-24),50.6,0.07083333333333333,799 (L),,203.7,
14,Parafﬁn,n-Pentacozane (Carbon atoms-25),53.5,0.0661111111111111,801 (L),,190.6,
15,Parafﬁn,Rubitherm RT-5,5.0,0.05,"880 (S, -15 degC)",,158.4,7.0
16,Parafﬁn,,,,"770 (L, 15 degC)",,,
17,Parafﬁn,Rubitherm RT-25,25.0,0.04111111111111111,,,,6.24
18,Parafﬁn,Rubitherm RT-50,50.0,0.04666666666666667,,,,7.0
19,Parafﬁn,Rubitherm RT-82,82.0,0.049444444444444444,,,,7.0
20,Parafﬁn,"®
PRS
parafﬁn wax",42.5,0.05611111111111111,,,,1.8
21,Fatty acids,Caprylic acid (Carbon atoms-8),16.0,0.041277777777777774,"981 (S, 13 degC)","0.149(L, 38.6 degC)",145.8,
22,Fatty acids,,,,"901 (L, 30 degC)",,,
23,Fatty acids,Capric acid (Carbon atoms-10),32.0,0.042416666666666665,"1004 (S, 24 degC)","0.153(L, 38.5 degC)",153.3,
24,Fatty acids,,,,"878 (L, 45 degC)",,,
25,Fatty acids,Lauric acid (Carbon atoms-12),42.0,0.0475,870 (L),0.149,148.8,75.0
26,Fatty acids,Myristic acid (Carbon atoms-14),54.0,0.05277777777777778,860 (L),,163.4,
27,Fatty acids,Palmitic acid (Carbon atoms-16),64.0,0.051500000000000004,"989 (S, 24 degC),","0.162(L,68.4 degC)",183.4,28.0
28,Fatty acids,,,,"850 (L, 65 degC)",,,
29,Fatty acids,Stearic acid (Carbon atoms-18),69.0,0.058055555555555555,940 (L),,196.5,41.0
30,Esters,Methyl palmitate,27.0,0.04533333333333333,,,,220.0
31,Esters,Allyl palmitate,23.0,0.04805555555555555,,,,
32,Esters,Propyl palmitate,20.0,0.05277777777777778,,,,
33,Esters,Methyl stearate,39.0,0.04463888888888889,,,,63.0
34,Esters,Isopropyl palmitate,11.0,0.027777777777777776,,,,16.0
35,Esters,Isopropyl stearate,14.0,0.03944444444444444,,,,
36,Esters,Butyl stearate,23.0,0.05555555555555555,,,,116.0
37,Esters,Ethylene glycol distearate,63.2,0.059944444444444446,,,,453.0
38,Esters,Dimethyl sebacate,21.0,0.0375,,,,63.0
39,Esters,Methyl-12hydroxystearate,43.0,0.035,,,,
40,Esters,Vinyl stearate,27.0,0.03388888888888889,,,,1170.0
41,Alcohols,Xylitol,93.0,0.07777777777777778,1520,,425.6,133.0
42,Alcohols,D-Sorbitol,97.0,0.030555555555555555,1490,,163.9,179.0
43,Alcohols,meso-Erythritol,117.0,0.09555555555555556,1450,,498.8,430.0
44,Alcohols,D-Mannitol,165.0,0.09472222222222222,,,,90.0
45,Alcohols,1-Dodecanol,23.3,0.051111111111111114,,,,190.0
46,Alcohols,1-Tetradecanol,39.3,0.06138888888888889,,,,180.0
47,Glycols,PEG400,4.2,0.03266666666666666,1128,,132.7,12.0
48,Glycols,PEG600,12.5,0.03586111111111111,,,,12.0
49,Glycols,PEG1000,40.0,0.04683333333333333,,,,15.0
50,Glycols,PEG3400,63.4,0.04633333333333334,,,,15.0
51,Glycols,PEG10000,65.9,0.04766666666666666,,,,20.0
52,Glycols,PEG20000,67.7,0.0445,,,,20.0
53,Glycols,PEG35000,68.7,0.04636111111111111,,,,20.0
54,Glycols,PEG100000,67.0,0.04883333333333334,,,,20.0
55,Glycols,PEG1000000,70.0,0.04833333333333333,,,,20.0
56,Organic Eutectic,Lauric acid-capric acid (45/55),21.0,0.03972222222222222,,,,
57,Organic Eutectic,Capric acid-palmitic acid (76.5/23.5),21.8,0.04755555555555555,,,,
58,Organic Eutectic,Lauric acid-myristic acid (66.0/34.0),34.2,0.04633333333333334,,,,
59,Organic Eutectic,Lauric acid-palmitic acid (69.0/31.0),35.2,0.04619444444444445,,,,
60,Organic Eutectic,Lauric acid-stearic acid (75.5/24.5),37.0,0.050749999999999997,,,,
61,Organic Eutectic,Myristic acid-palmitic acid (58.0/42.0),42.6,0.04713888888888888,,,,
62,Organic Eutectic,Myristic acid-stearic acid (64.0/36.0),44.1,0.050666666666666665,,,,
63,Organic Eutectic,Myristic acid-stearic acid (65.7/34.3),52.0,0.045,,,,
64,Organic Eutectic,Palmitic acid-stearic acid (64.2/35.8),52.3,0.05047222222222222,,,,
65,Organic Eutectic,CaCl2$6H2O,29.6,0.053000000000000005,1562,,298,21.0
66,Organic Eutectic,,,,,,,
67,Organic Eutectic,CaBr2$6H2O,34.0,0.03208333333333333,1956,,225.9,
68,Organic Eutectic,,,,,,,
69,Organic Eutectic,NaCH3COO$3H2O,58.0,0.06666666666666667,,,,5.0
70,Organic Eutectic,,,,,,,
71,Organic Eutectic,,,,,,,
72,Organic Eutectic,MgCl2$6H2O,117.0,0.04683333333333333,"1569 (S, 20 degC)","0.694 (S, 90 degC)",264.5,6.0
