index,specific_price,min_quantity_kg,keep,title,link,hydrate_count,scaled_anhydrous_price,min_quantity,min_unit,search_text
B,220.0,20.0,y,7440-42-8 7440-42-8 Amorphous Boron Powder Boron Powder Price CAS 7440-42-8 Amorphous Boron Powder,https://www.alibaba.com/product-detail/7440-42-8-7440-42-8_1600332451351.html?s=p,,,20.0,kg,7440-42-8
B,220.0,20.0,y,Ultrafine Boron Metal Amorphous Boron Powder CAS 7440-42-8 Boron Powder Price,https://www.alibaba.com/product-detail/Ultrafine-Boron-Metal-Amorphous-Boron-Powder_1600290078621.html,,,20.0,kg,7440-42-8
B,220.0,20.0,y,High Purity Boron Powder Price CAS 7440-42-8 Amorphous Boron Powder,https://www.alibaba.com/product-detail/High-Purity-Boron-Powder-Price-CAS_1600268888378.html,,,20.0,kg,7440-42-8
B,0.001,1.0,y,High Quality Boron CAS NO 7440-42-8 Manufacturer,https://www.alibaba.com/product-detail/High-Quality-Boron-CAS-NO-7440_11000002367204.html,,,1.0,kg,7440-42-8
B,140.0,1.0,y,Professional manufacture for Amorphous Boron CAS 7440-42-8,https://www.alibaba.com/product-detail/Professional-manufacture-for-Amorphous-Boron-CAS_1600380978479.html,,,1.0,kg,7440-42-8
B,380.0,1.0,y,Factory selling high purity 99% amorphous boron powder CAS: 7440-42-8,https://www.alibaba.com/product-detail/Factory-selling-high-purity-99-amorphous_468130983.html,,,1.0,kg,7440-42-8
B,200.0,1.0,y,High purity Boron powder 7440-42-8 Used as flux in welding,https://www.alibaba.com/product-detail/High-purity-Boron-powder-7440-42_1600292449932.html,,,1.0,kg,7440-42-8
Ba,98.0,1.0,y,High purity barium metal barium granules,https://www.alibaba.com/product-detail/High-purity-barium-metal-barium-granules_1600407437880.html,,,1.0,kg,barium metal
Ba,0.7,10000.0,y,China supply silicon barium metal with competitive price,https://www.alibaba.com/product-detail/China-supply-silicon-barium-metal-with_1600095460055.html,,,10.0,t,barium metal
Ba,120.0,1.0,y,High purity 99.9% Ba granules barium metal manufacture pric,https://www.alibaba.com/product-detail/High-purity-99-9-Ba-granules_1600272056627.html?spm=a2700.galleryofferlist.normal_offer.d_title.10c356b4tLJPj7,not_specified,,1.0,kg,Barium
Ba,80.0,1.0,y,2021 best seller barium metal price,https://www.alibaba.com/product-detail/2021-best-seller-barium-metal-price_1600273638813.html,,,1.0,kg,barium metal
Ba(OH)2,0.2,1000.0,y,B-L909 for Powder Coating Natural Barium Sulfate,https://www.alibaba.com/product-detail/B-L909-for-Powder-Coating-Natural_60704204218.html,,,1.0,t,Ba(OH)2 barium
Ba(OH)2,0.425,20000.0,y,Manufacturers direct precipitation barium sulfate low price,https://www.alibaba.com/product-detail/Manufacturers-direct-precipitation-barium-sulfate-low_1600342297328.html,,,20.0,t,Ba(OH)2 barium
Ba(OH)2,1.0,1.0,y,Barium Hydroxide Monohydrate BHMH CAS No 22326-55- 2,https://www.alibaba.com/product-detail/Barium-Hydroxide-Monohydrate-BHMH-CAS-No_62265677444.html,,,1.0,kg,Ba(OH)2 barium
Ba(OH)2,1.8,1.0,y,Barium boron oxide Cas No. 13701-59- 2 Manufacturer,https://www.alibaba.com/product-detail/Barium-boron-oxide-Cas-No-13701_1600460305404.html,,,1.0,kg,Ba(OH)2 barium
Ba(OH)2,0.4676,25000.0,y,Barium Sulphate(Cas no:7727-43-7),https://www.alibaba.com/product-detail/Barium-Sulphate-Cas-no-7727-43_60269514875.html,,,25.0,t,Ba(OH)2 barium
Ba(OH)2,0.15,1000.0,y,Barium Sulphate Nature BaSO4 Coating material 98% BaSO4 Barium,https://www.alibaba.com/product-detail/Barium-Sulphate-Nature-BaSO4-Coating-material_1600499114245.html,,,1.0,t,Ba(OH)2 barium
Ba(OH)2,0.685,649000.0,y,Barium Sulfate Baso4 98%min,https://www.alibaba.com/product-detail/Barium-Sulfate-Baso4-98-min_60700977750.html,,,649.0,t,Ba(OH)2 barium
Ba(OH)2,0.405,25000.0,y,"Precipitatted, barium sulphate,industrial",https://www.alibaba.com/product-detail/Precipitatted-barium-sulphate-industrial_60653027867.html,,,25.0,t,Ba(OH)2 barium
Ba(OH)2,0.6,25000.0,y,98% Barium Hydroxide Octahydrate,https://www.alibaba.com/product-detail/98-Barium-Hydroxide-Octahydrate_538658335.html,,,25.0,t,Ba(OH)2 barium
BaCO3,0.36,10000.0,y,Hot sell Barium Carbonate BaCO3 99% for the steel carbonizes in cheap price,https://www.alibaba.com/product-detail/Hot-sell-Barium-Carbonate-BaCO3-99_60727434055.html,,,10.0,t,BaCO3 barium carbonate
BaCO3,0.5,1000.0,y,Barium Carbonate Baco3 Carbonatebaco3 Price Barium Carbonate Manufacturer Wholesale Hot Selling 98.5% Barium Carbonate BaCO3 CAS NO.513-77-9,https://www.alibaba.com/product-detail/Barium-Carbonate-Baco3-Carbonatebaco3-Price-Barium_1600294601454.html?s=p,,,1.0,t,BaCO3 barium carbonate
BaCO3,0.3,1.0,y,Baco3 Barium Carbonate Carbonatebaco3 Barium Carbonate Heavy Baco3 Powder Barium Carbonate Heavy,https://www.alibaba.com/product-detail/Baco3-Barium-Carbonate-Carbonatebaco3-Barium-Carbonate_1354234344.html?s=p,,,1.0,kg,BaCO3 barium carbonate
BaCO3,0.5,1000.0,y,Barium Carbonate Baco3 Carbonatebaco3 Price Barium Carbonate High Purity 99.2% Barium Carbonate Granular BaCo3 For Optical Coating,https://www.alibaba.com/product-detail/Barium-Carbonate-Baco3-Carbonatebaco3-Price-Barium_1600294671211.html?s=p,,,1.0,t,BaCO3 barium carbonate
BaCO3,0.5,1000.0,y,High Quality Hot sale Barium carbonate /cas513-77-9/ BaCO3 for ceramic,https://www.alibaba.com/product-detail/High-Quality-Hot-sale-Barium-carbonate_1600294684173.html,,,1.0,t,BaCO3 barium carbonate
BaCO3,0.3,1.0,y,513-77-9 Barium Carbonate Precipitated/ barium carbonate 99.2% used in glass industry,https://www.alibaba.com/product-detail/513-77-9-Barium-Carbonate-Precipitated_60693311700.html,,,1.0,kg,BaCO3 barium carbonate
BaCO3,0.725,24000.0,y,Barium Carbonate Baco3 Carbonatebaco3 99 Barium Carbonate High Quality Factory Price Barium Carbonate 99% Industrial Grade BaCO3,https://www.alibaba.com/product-detail/Barium-Carbonate-Baco3-Carbonatebaco3-99-Barium_1600294644553.html?s=p,,,24.0,t,BaCO3 barium carbonate
BaCO3,0.421,1000.0,y,"Baco3 Barium Carbonate for Ceramic, Paint, or Glass",https://www.alibaba.com/product-detail/Baco3-Barium-Carbonate-for-Ceramic-Paint_1600146407630.html,,,1.0,t,BaCO3 barium carbonate
BaCO3,0.3,1.0,y,Barium Carbonate Glass Carbonate Hot Sales BaCO3 barium carbonate glass industrial For Ceramic Industry,https://www.alibaba.com/product-detail/Barium-Carbonate-Glass-Carbonate-Hot-Sales_1600324693585.html,,,1.0,kg,BaCO3 barium carbonate
BaCO3,2.5,1.0,y,Free Flowing Barium Carbonate BaCO3 CAS No 513-77-9 Barium carbonate,https://www.alibaba.com/product-detail/Free-Flowing-Barium-Carbonate-BaCO3-CAS_1600269129121.html,,,1.0,kg,BaCO3 barium carbonate
BaCO3,0.4,10000.0,y,carbonate BaCO3 99.2% 513-77-9 Glass Industrial Barium Carbonate,https://www.alibaba.com/product-detail/carbonate-BaCO3-99-2-513-77_60150054058.html,,,10.0,t,BaCO3 barium carbonate
BaCO3,0.38,25.0,y,CAS No 513-77-9 Best Price Industrial-grade BaCO3 99.2%min powder Barium carbonate,https://www.alibaba.com/product-detail/CAS-No-513-77-9-Best_60763597122.html,,,25.0,kg,BaCO3 barium carbonate
BaO,0.3,1000.0,y,BARIUM OXIDE cas 1304-28-5,https://www.alibaba.com/product-detail/BARIUM-OXIDE-cas-1304-28-5_1934808032.html,,,1.0,t,1304-28-5
BaO,1.0,1.0,y,High quality BARIUM OXIDE CAS 1304-28-5,https://www.alibaba.com/product-detail/High-quality-BARIUM-OXIDE-CAS-1304_60342656678.html,,,1.0,kg,1304-28-5
BaO,10.0,1.0,y,Barium Oxide with CAS 1304-28-5,https://www.alibaba.com/product-detail/Barium-Oxide-with-CAS-1304-28_1600328081870.html,,,1.0,kg,1304-28-5
BaO,10.0,1.0,y,Epoch Barium Oxide Powder with BaO and 1304-28-5,https://www.alibaba.com/product-detail/Epoch-Barium-Oxide-Powder-with-BaO_1600284871578.html,,,1.0,kg,1304-28-5
BaO,2.0,1.0,y,Barium oxide with factory supply CAS 1304-28-5,https://www.alibaba.com/product-detail/Barium-oxide-with-factory-supply-CAS_1600242941703.html,,,1.0,kg,1304-28-5
BaO2,10.0,1.0,y,Lukong Supply 99% Barium Oxide Powder for Sale Barium Oxide,https://www.alibaba.com/product-detail/Lukong-Supply-99-Barium-Oxide-Powder_1600452959529.html?spm=a2700.galleryofferlist.normal_offer.d_title.5a9c1f9bvCniMi,not_specified,,1.0,kg,BaO2 barium oxide
Bi,12.7,15.0,y,china supply bismuth ingots 4n 99.99% bismuth metal ingots,https://www.alibaba.com/product-detail/china-supply-bismuth-ingots-4n-99_1600448518481.html?s=p,,,15.0,kg,bismuth metal
Bi,10.0,16.0,y,Bismuth Metal Bismuth Metal China Wholesale 99.99% Pure Bismuth Metal Ingot,https://www.alibaba.com/product-detail/Bismuth-Metal-Bismuth-Metal-China-Wholesale_62190955483.html?s=p,,,16.0,kg,bismuth metal
Bi,12.7,15.0,y,bismuth price per kg 99.99% bismuth metal ingots 4n bismuth ingots,https://www.alibaba.com/product-detail/bismuth-price-per-kg-99-99_1600424099868.html?s=p,,,15.0,kg,bismuth metal
Bi,12.0,1.0,y,Bismuth Metal Bismuth Metal High Purity Bismuth Metal Ingot For Refrigerating Element,https://www.alibaba.com/product-detail/Bismuth-Metal-Bismuth-Metal-High-Purity_62448567047.html?s=p,,,1.0,kg,bismuth metal
Bi,12.0,1.0,y,Bismuth Metal Bismuth Metal 4N Bismuth Ingots Refrigerating Element 99.9999% Price Pure Bismuth Metal Ingot For Sale,https://www.alibaba.com/product-detail/Bismuth-Metal-Bismuth-Metal-4N-Bismuth_62336486675.html?s=p,,,1.0,kg,bismuth metal
Bi,1.0,10.0,y,Bismuth Metal Tin Bismuth Silver Alloy Soldering Powder SnBiAg Metal Powder Gold Suppliers 2021 Price,https://www.alibaba.com/product-detail/Bismuth-Metal-Tin-Bismuth-Silver-Alloy_1600093813835.html?s=p,,,10.0,kg,bismuth metal
Bi,7.0,1.0,y,"99.9%,99.99% Bismuth Metal Powder For Bismuth Ingot",https://www.alibaba.com/product-detail/99-9-99-99-Bismuth-Metal_60293228796.html,,,1.0,kg,bismuth metal
Bipyridine,6.0,1.0,y,366-18-7 366-18-7366-18-7366-18-7 2 2'-bipyridine Professional Supplier 2 2'-Bipyridine CAS 366-18-7,https://www.alibaba.com/product-detail/366-18-7-366-18-7366_1600385807072.html?s=p,,,1.0,kg,366-18-7
Bipyridine,20.0,1.0,y,Wholesale 2 2'-Bipyridine C10H8N2 cas no. 366-18-7 in stock,https://www.alibaba.com/product-detail/Wholesale-2-2-Bipyridine-C10H8N2-cas_1600399112855.html,,,1.0,kg,366-18-7
Bipyridine,59.0,1.0,y,2 2'-Bipyridine cas 366-18-7 C10H8N2 2'-Bipyridine,https://www.alibaba.com/product-detail/2-2-Bipyridine-cas-366-18_1600468282990.html?s=p,,,1.0,kg,366-18-7
Bipyridine,20.0,1.0,y,"High quality 2,2'-Bipyridine with best price CAS 366-18-7",https://www.alibaba.com/product-detail/High-quality-2-2-Bipyridine-with_1600500583723.html,,,1.0,kg,366-18-7
Bipyridine,5.0,1.0,y,366-18-7 Organic Intermediate 2 2'-Bipyridine 366-18-7 2 2'-Dipyridyl,https://www.alibaba.com/product-detail/366-18-7-Organic-Intermediate-2_1600498963780.html?s=p,,,1.0,kg,366-18-7
Bipyridine,10.0,1.0,y,Organic intermediate 99% 2 2'-Bipyridine / 2 2'-DIPYRIDYL CAS 366-18-7 with best price,https://www.alibaba.com/product-detail/Organic-intermediate-99-2-2-Bipyridine_1600490071378.html?s=p,,,1.0,kg,366-18-7
Bipyridine,1.0,1.0,y,"Factory Supply Best Price 2,2'-Bipyridine/2,2'-Dipyridyl cas 366-18-7",https://www.alibaba.com/product-detail/Factory-Supply-Best-Price-2-2_1600432714751.html,,,1.0,kg,366-18-7
Bipyridine,7.0,1000.0,y,"4,4'-Bipyridine CAS 553-26-4",https://www.alibaba.com/product-detail/4-4-Bipyridine-CAS-553-26_1600301932062.html?spm=a2700.galleryofferlist.normal_offer.d_title.180514d9yPV1VU,not_specified,,1000.0,kg,"4,4'-Bipyridine"
Bipyridine,1.0,100.0,y,"Factory Supply Chemicals materials 4,4'-Bipyridine CAS 553-26-4",https://www.alibaba.com/product-detail/Factory-Supply-Chemicals-materials-4-4_1600465967715.html?spm=a2700.galleryofferlist.normal_offer.d_title.2b7e68edEZSwKJ&s=p,not_specified,,100.0,kg,"4,4'-Bipyridine"
Bipyridine,20.0,1.0,y,366-18-7 White Powder 366-18-7 2'-Bipyridine Fine Quality,https://www.alibaba.com/product-detail/366-18-7-White-Powder-366_1600502451068.html?s=p,,,1.0,kg,366-18-7
CNT,100.0,1000.0,y,Industrial Grade Multi Walled Carbon Nanotubes Powder Price MWCNTs,https://www.alibaba.com/product-detail/Industrial-Grade-Multi-Walled-Carbon-Nanotubes_1600261135010.html?spm=a2700.7724857.normal_offer.d_title.188e249abm1JaT,not_specified,,1000.0,kg,Carbon Nanotube
CNT,120.0,1.0,y,Lithium Ion Battery Material Multi Walled Carbon Nanotubes Powder,https://www.alibaba.com/product-detail/Lithium-Ion-Battery-Material-Multi-Walled_1600094828858.html,,,1.0,kg,carbon nanotube
CNT,0.65,1000.0,y,Multi Walled Carbon Nanotubes Coal Based Powder Activated Carbon for Decolor,https://www.alibaba.com/product-detail/Multi-Walled-Carbon-Nanotubes-Coal-Based_1600473616823.html?s=p,,,1.0,t,carbon nanotube
Ca,30.0,1.0,y,The Best Quality Metal Ca Calcium Lump 99.99% Pure Calcium Metal Block Calcium Metal Lump,https://www.alibaba.com/product-detail/The-Best-Quality-Metal-Ca-Calcium_1600387117167.html,,,1.0,kg,calcium metal
Ca,4.5,20000.0,y,Calcium Metal Calcium Calcium Metal High Purity Low Price Steelmaking Additive Pure Calcium Metal Granules For Sale,https://www.alibaba.com/product-detail/Calcium-Metal-Calcium-Calcium-Metal-High_1600448951709.html?s=p,,,20.0,t,calcium metal
Ca,90.0,1.0,y,9999 pure calcium metal for battery,https://www.alibaba.com/product-detail/9999-pure-calcium-metal-for-battery_60831748861.html,,,1.0,kg,calcium metal
Ca,4.5,20000.0,y,Calcium Metal Calcium Factory Direct Sale Steelmaking Additive High Pure Calcium Metal Granules For Sale,https://www.alibaba.com/product-detail/Calcium-Metal-Calcium-Factory-Direct-Sale_1600449059774.html?s=p,,,20.0,t,calcium metal
Ca,4.5,20000.0,y,Calcium Metal Calcium Calcium Metal High Purity Steelmaking Additive Calcium Metal Lumps For Sale 50-100mm,https://www.alibaba.com/product-detail/Calcium-Metal-Calcium-Calcium-Metal-High_1600449031452.html?s=p,,,20.0,t,calcium metal
Ca,2.9,1000.0,y,Factory Sale Various Suppliers High Quality Silicon Calcium Metal For Steel Making,https://www.alibaba.com/product-detail/Factory-Sale-Various-Suppliers-High-Quality_1600465027068.html?s=p,,,1.0,t,calcium metal
Ca(OH)2 ,0.19,100000.0,y,Low price 95% Hydrated lime Ca ( OH ) 2 / calcium hydroxide,https://www.alibaba.com/product-detail/Low-price-95-Hydrated-lime-Ca_62413887067.html,,,100.0,t,Ca(OH)2 calcium hydroxide
Ca(OH)2 ,0.08,1000.0,y,Highly Refined Type Ca oh 2 Calcium Hydroxide South China White Powder Water Treatment Chemicals Hydrated Lime Limestone 1 Ton,https://www.alibaba.com/product-detail/Highly-Refined-Type-Ca-oh-2_1600475148854.html?s=p,,,1.0,t,Ca(OH)2 calcium hydroxide
Ca(OH)2 ,0.16,1000.0,y,Bulk Calcium Hydroxide Factory price Ca ( oh ) 2 Msds Calcium Hydroxide for sale,https://www.alibaba.com/product-detail/Bulk-Calcium-Hydroxide-Factory-price-Ca_1600237021014.html,,,1.0,t,Ca(OH)2 calcium hydroxide
Ca(OH)2 ,0.08,20000.0,y,Factory Direct Calcium Hydroxide Ca ( OH ) 2 Industrial Grade High Quality,https://www.alibaba.com/product-detail/Factory-Direct-Calcium-Hydroxide-Ca-OH_10000005749432.html,,,20.0,t,Ca(OH)2 calcium hydroxide
Ca(OH)2 ,0.13,100000.0,y,"Dental Calcium Hydroxide , Ca ( OH ) 2 Powder, Hydrated Lime 90% Ca ( OH ) 2",https://www.alibaba.com/product-detail/Dental-Calcium-Hydroxide-Ca-OH-2_62413951464.html,,,100.0,t,Ca(OH)2 calcium hydroxide
Ca(OH)2 ,0.09,1000.0,y,Vietnam manufacturer Industrial Grade 99% calcium hydroxide /hydrated lime Powder Ca ( OH ) 2 ready to ship,https://www.alibaba.com/product-detail/Vietnam-manufacturer-Industrial-Grade-99-calcium_10000002570732.html,,,1.0,t,Ca(OH)2 calcium hydroxide
Ca(OH)2 ,0.08,25000.0,y,HAIDA Calcium hydroxide hydrated lime powder Ca ( OH ) 2,https://www.alibaba.com/product-detail/HAIDA-Calcium-hydroxide-hydrated-lime-powder_1600180088287.html,,,25000.0,kg,Ca(OH)2 calcium hydroxide
Ca(OH)2 ,0.06,25000.0,y,Industrial Grade 99% calcium hydroxide /hydrated lime Powder Ca ( OH ) 2,https://www.alibaba.com/product-detail/Industrial-Grade-99-calcium-hydroxide-hydrated_1600137637152.html,,,25.0,t,Ca(OH)2 calcium hydroxide
Ca(OH)2 ,0.07,1000.0,y,Calcium High Purity Hydrated Lime/Ca OH 2 Calcium Hydroxide /Slaked Lime,https://www.alibaba.com/product-detail/Calcium-High-Purity-Hydrated-Lime-Ca_1600121766069.html?s=p,,,1.0,t,Ca(OH)2 calcium hydroxide
CaCO3,0.15,1000.0,y,Caco3 Caco3 Industrial Calcium Carbonate High Purity Calcium Carbonate Caco3 Powder,https://www.alibaba.com/product-detail/Caco3-Caco3-Industrial-Calcium-Carbonate-High_1600425724750.html?s=p,,,1000.0,kg,CaCO3
CaCO3,0.5,1000.0,y,High Purity 2000 Mesh Heavy Calcium Carbonate Powder Caco3 For Sale,https://www.alibaba.com/product-detail/High-Purity-2000-Mesh-Heavy-Calcium_1600442475284.html?s=p,,,1.0,t,CaCO3
CaCO3,0.9,1000.0,y,Wholesale High Quality Calcium Carbonate Caco3 Powder Particle Size,https://www.alibaba.com/product-detail/Wholesale-High-Quality-Calcium-Carbonate-Caco3_1600442489282.html?s=p,,,1.0,t,CaCO3
CaCO3,0.25,1000.0,y,High Quality PP/PE/HIPS/ABS Caco3 Carbonate Filler Masterbatch With cheap price,https://www.alibaba.com/product-detail/High-Quality-PP-PE-HIPS-ABS_1600306653029.html?s=p,,,1.0,t,CaCO3
CaCO3,0.4992,1000.0,y,Wholesale Price Chemicals CaCO3 Inorganic Salts 99% White Powder Calcium Carbonated,https://www.alibaba.com/product-detail/Wholesale-Price-Chemicals-CaCO3-Inorganic-Salts_1600501600068.html?s=p,,,1.0,t,CaCO3
CaCO3,1.0,1.0,y,manufacturer pharmaceutical food grade 99%min powder caco3 calcium carbonate price per ton CAS 471-34-1,https://www.alibaba.com/product-detail/manufacturer-pharmaceutical-food-grade-99-min_1600407081803.html?s=p,,,1.0,kg,CaCO3
CaCO3,0.14,25000.0,y,99% Purity Micronized Limestone CaCo3 Powder precipitated Calcium Carbonate price,https://www.alibaba.com/product-detail/99-Purity-Micronized-Limestone-CaCo3-Powder_1600135673149.html,,,25.0,t,CaCO3
CaCO3,0.4,1000.0,y,Caco3 Caco3 Masterbatch CaCo3 Filler Masterbatch Plastic Transparent Filler Masterbatch Additive,https://www.alibaba.com/product-detail/Caco3-Caco3-Masterbatch-CaCo3-Filler-Masterbatch_1600108961437.html?s=p,,,1.0,t,CaCO3
CaCO3,0.07,20000.0,y,Calcium carbonate CaCO3 powder price 99% carbonate with High Quality,https://www.alibaba.com/product-detail/Calcium-carbonate-CaCO3-powder-price-99_10000002475999.html,,,20.0,t,CaCO3
CaCO3,0.298,25000.0,y,Chemical Calcium Carbonate Powder Caco3 Calcium Carbonate Calcite Powder 99% Min Carbonate,https://www.alibaba.com/product-detail/Chemical-Calcium-Carbonate-Powder-Caco3-Calcium_1600233596771.html,,,25.0,t,CaCO3
CaCl2,0.15,10000.0,y,calcium dichloride cas 10043-52-4 CaCl2 bulk Anhydrous Calcium Chloride,https://www.alibaba.com/product-detail/calcium-dichloride-cas-10043-52-4_1600213868391.html,0,0.15,10000.0,kg,CaCl2
CaCl2,0.14,20000.0,y,Cacl2 Cacl2cacl2 74%-94% Cacl2 Calcium Choride Industry Grade Water Treatment,https://www.alibaba.com/product-detail/Cacl2-Cacl2cacl2-74-94-Cacl2-Calcium_1600184679297.html?s=p,not_specified,,20.0,t,CaCl2
CaCl2,0.12,1000.0,y,industrial grade ice melt cacl2 calcium choride 77%,https://www.alibaba.com/product-detail/industrial-grade-ice-melt-cacl2-calcium_1600164640694.html?s=p,not_specified,,1.0,t,CaCl2
CaCl2,0.13,1000.0,y,Cacl2 Cacl2 94 Anhydrous Calcium Chloride Cacl2 Powder,https://www.alibaba.com/product-detail/Cacl2-Cacl2-94-Anhydrous-Calcium-Chloride_60717323233.html?s=p,0,0.13,1.0,t,CaCl2
